"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1983-03-05,"EDM","TOR",22,NA,NA,"Mike Palmateer","2",1899-12-31 13:56:00,"EV","Maple Leaf Gardens","W","A",0,0
1983-03-02,"EDM","WSH",22,"Paul Coffey","Jari Kurri",NA,"3",1899-12-31 19:29:00,"EV","Capital Center","W","A",1,0
1983-03-01,"EDM","NJD",22,NA,NA,"Glenn Resch","2",1899-12-31 16:25:00,"SH","Brendan Byrne Arena","W","A",0,0
1983-02-25,"EDM","STL",22,"Paul Coffey","Garry Lariviere","Rick Heinz","3",1899-12-31 08:26:00,"EV","Northlands Coliseum","T","H",0,0
1983-02-23,"EDM","WSH",22,"Kevin Lowe","Jaroslav Pouzar","Al Jensen","1",1899-12-31 07:03:00,"PP","Northlands Coliseum","W","H",0,0
1983-02-23,"EDM","WSH",22,"Randy Gregg","Jari Kurri","Al Jensen","3",1899-12-31 01:26:00,"SH","Northlands Coliseum","W","H",0,0
1983-02-22,"EDM","CGY",22,"Jari Kurri","Charlie Huddy","Don Edwards","3",1899-12-31 16:05:00,"EV","Stampede Corral","L","A",0,0
1983-02-19,"EDM","PIT",22,"Kevin Lowe",NA,"Denis Herron","2",1899-12-31 10:48:00,"EV","Pittsburgh Civic Arena","W","A",0,0
1983-02-19,"EDM","PIT",22,"Lee Fogolin","Kevin Lowe","Nick Ricci","3",1899-12-31 14:41:00,"EV","Pittsburgh Civic Arena","W","A",0,0
1983-02-14,"EDM","MTL",22,"Glenn Anderson","Ken Linseman","Rick Wamsley","2",1899-12-31 09:33:00,"PP","Montreal Forum","L","A",0,0
1983-02-14,"EDM","MTL",22,"Ken Linseman","Mark Messier","Rick Wamsley","2",1899-12-31 16:56:00,"PP","Montreal Forum","L","A",0,0
1983-02-11,"EDM","QUE",22,"Paul Coffey",NA,"Clint Malarchuk","3",1899-12-31 17:23:00,"EV","Northlands Coliseum","W","H",0,0
1983-02-04,"EDM","MTL",22,"Tom Roulston","Andy Moog","Rick Wamsley","2",1899-12-31 05:30:00,"EV","Northlands Coliseum","W","H",0,0
1983-01-26,"EDM","TOR",22,"Jari Kurri","Mark Messier","Rick St. Croix","1",1899-12-31 04:12:00,"EV","Northlands Coliseum","T","H",0,0
1983-01-26,"EDM","TOR",22,"Glenn Anderson","Mark Messier","Rick St. Croix","1",1899-12-31 12:33:00,"PP","Northlands Coliseum","T","H",0,0
1983-01-23,"EDM","LAK",21,"Jari Kurri","Mark Messier","Mario Lessard","3",1899-12-31 05:16:00,"EV","Northlands Coliseum","W","H",0,0
1983-01-22,"EDM","VAN",21,"Paul Coffey",NA,"Richard Brodeur","3",1899-12-31 19:48:00,"EV","Pacific Coliseum","L","A",0,0
1983-01-19,"EDM","VAN",21,NA,NA,"Richard Brodeur","3",1899-12-31 10:52:00,"EV","Northlands Coliseum","W","H",0,0
1983-01-18,"EDM","LAK",21,"Paul Coffey",NA,"Doug Keans","2",1899-12-31 00:21:00,"PP","Great Western Forum","T","A",0,0
1983-01-15,"EDM","MNS",21,NA,NA,"Gilles Meloche","3",1899-12-31 06:36:00,"EV","Metropolitan Sports Center","W","A",0,0
1983-01-12,"EDM","CBH",21,"Pat Hughes",NA,"Murray Bannerman","2",1899-12-31 03:41:00,"EV","Chicago Stadium","W","A",0,0
1983-01-12,"EDM","CBH",21,"Paul Coffey","Jari Kurri","Murray Bannerman","3",1899-12-31 00:32:00,"PP","Chicago Stadium","W","A",0,0
1983-01-07,"EDM","PIT",21,"Jari Kurri","Kevin Lowe","Denis Herron","2",1899-12-31 19:19:00,"EV","Northlands Coliseum","W","H",0,0
1983-01-07,"EDM","PIT",21,"Jari Kurri","Jaroslav Pouzar","Denis Herron","1",1899-12-31 12:27:00,"EV","Northlands Coliseum","W","H",0,0
1983-01-05,"EDM","WIN",21,"Jari Kurri","Paul Coffey","Ed Staniowski","1",1899-12-31 11:37:00,"EV","Winnipeg Arena","W","A",0,0
1983-01-05,"EDM","WIN",21,"Jari Kurri","Paul Coffey","Ed Staniowski","3",1899-12-31 15:08:00,"SH","Winnipeg Arena","W","A",0,0
1983-01-04,"EDM","CGY",21,"Randy Gregg",NA,"Don Edwards","1",1899-12-31 17:41:00,"EV","Stampede Corral","W","A",0,0
1982-12-31,"EDM","VAN",21,"Jari Kurri","Paul Coffey","Richard Brodeur","2",1899-12-31 17:38:00,"EV","Pacific Coliseum","W","A",0,0
1982-12-31,"EDM","VAN",21,"Paul Coffey","Charlie Huddy","Richard Brodeur","2",1899-12-31 12:04:00,"PP","Pacific Coliseum","W","A",0,0
1982-12-23,"EDM","LAK",21,"Jari Kurri","Ken Linseman","Mario Lessard","2",1899-12-31 18:29:00,"EV","Great Western Forum","W","A",0,0
1982-12-22,"EDM","MNS",21,"Charlie Huddy",NA,"Don Beaupre","2",1899-12-31 02:27:00,"EV","Northlands Coliseum","W","H",0,0
1982-12-17,"EDM","NJD",21,"Glenn Anderson","Mark Messier","Glenn Resch","2",1899-12-31 11:26:00,"PP","Northlands Coliseum","W","H",0,0
1982-12-11,"EDM","MNS",21,NA,NA,"Don Beaupre","1",1899-12-31 16:34:00,"SH","Metropolitan Sports Center","L","A",0,0
1982-12-07,"EDM","STL",21,"Randy Gregg","Ken Linseman","Mike Liut","3",1899-12-31 09:10:00,"EV","Northlands Coliseum","W","H",0,0
1982-12-07,"EDM","STL",21,"Paul Coffey","Glenn Anderson","Mike Liut","2",1899-12-31 06:23:00,"PP","Northlands Coliseum","W","H",0,0
1982-12-05,"EDM","LAK",21,"Charlie Huddy",NA,"Gary Laskoski","2",1899-12-31 07:35:00,"EV","Northlands Coliseum","W","H",0,0
