"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1985-04-05,"Calgary Flames",5,5,49,19,11,"T 1","T","H"
1985-04-06,"Winnipeg Jets",5,6,49,20,11,"L 1","L","H"
1985-10-10,"Winnipeg Jets",4,3,1,0,0,"W 1","W","H"
1985-10-13,"St. Louis Blues",6,3,2,0,0,"W 2","W","H"
1985-10-16,"New York Islanders",6,4,3,0,0,"W 3","W","H"
1985-10-18,"Boston Bruins",3,2,4,0,0,"W 4","W","H"
1985-10-20,"Los Angeles Kings",8,5,5,0,0,"W 5","W","A"
1985-10-23,"Winnipeg Jets",3,9,5,1,0,"L 1","L","A"
1985-10-25,"Calgary Flames",5,3,6,1,0,"W 1","W","H"
1985-10-28,"Calgary Flames",6,4,7,1,0,"W 2","W","A"
1985-10-30,"Winnipeg Jets",7,3,8,1,0,"W 3","W","H"
1985-11-01,"Buffalo Sabres",0,2,8,2,0,"L 1","L","H"
1985-11-03,"Toronto Maple Leafs",7,1,9,2,0,"W 1","W","H"
1985-11-05,"Vancouver Canucks",6,4,10,2,0,"W 2","W","A"
1985-11-06,"Los Angeles Kings",4,4,10,2,1,"T 1","T","A"
1985-11-08,"Vancouver Canucks",13,0,11,2,1,"W 1","W","H"
1985-11-12,"Washington Capitals",2,5,11,3,1,"L 1","L","A"
1985-11-14,"Philadelphia Flyers",3,5,11,4,1,"L 2","L","A"
1985-11-16,"New York Islanders",4,4,11,4,2,"T 1","T","A"
1985-11-17,"New York Rangers",3,2,12,4,2,"W 1","OTW","A"
1985-11-19,"Quebec Nordiques",5,4,13,4,2,"W 2","W","A"
1985-11-20,"Montreal Canadiens",5,4,14,4,2,"W 3","OTW","A"
1985-11-23,"New Jersey Devils",3,2,15,4,2,"W 4","W","H"
1985-11-27,"Vancouver Canucks",5,5,15,4,3,"T 1","T","H"
1985-11-30,"Hartford Whalers",8,5,16,4,3,"W 1","W","H"
1985-12-01,"Calgary Flames",5,3,17,4,3,"W 2","W","H"
1985-12-03,"Los Angeles Kings",8,4,18,4,3,"W 3","W","A"
1985-12-05,"Los Angeles Kings",6,6,18,4,4,"T 1","T","H"
1985-12-07,"Minnesota North Stars",8,4,19,4,4,"W 1","W","H"
1985-12-08,"Chicago Black Hawks",4,3,20,4,4,"W 2","W","H"
1985-12-10,"St. Louis Blues",3,7,20,5,4,"L 1","L","A"
1985-12-11,"Chicago Black Hawks",12,9,21,5,4,"W 1","W","A"
1985-12-13,"Winnipeg Jets",6,3,22,5,4,"W 2","W","A"
1985-12-15,"Vancouver Canucks",5,3,23,5,4,"W 3","W","H"
1985-12-18,"Washington Capitals",2,5,23,6,4,"L 1","L","H"
1985-12-20,"Los Angeles Kings",9,4,24,6,4,"W 1","W","H"
1985-12-22,"Winnipeg Jets",5,7,24,7,4,"L 1","L","H"
1985-12-29,"Vancouver Canucks",5,3,25,7,4,"W 1","W","A"
1985-12-31,"Philadelphia Flyers",4,3,26,7,4,"W 2","W","H"
1986-01-02,"Calgary Flames",4,3,27,7,4,"W 3","W","A"
1986-01-04,"Hartford Whalers",4,3,28,7,4,"W 4","W","H"
1986-01-05,"Calgary Flames",6,3,29,7,4,"W 5","W","H"
1986-01-08,"Toronto Maple Leafs",9,11,29,8,4,"L 1","L","A"
1986-01-10,"Quebec Nordiques",3,5,29,9,4,"L 2","L","A"
1986-01-11,"Montreal Canadiens",6,3,30,9,4,"W 1","W","A"
1986-01-13,"Boston Bruins",5,3,31,9,4,"W 2","W","A"
1986-01-15,"Hartford Whalers",4,1,32,9,4,"W 3","W","A"
1986-01-18,"New York Rangers",4,5,32,10,4,"L 1","L","H"
1986-01-22,"Pittsburgh Penguins",4,7,32,11,4,"L 2","L","H"
1986-01-24,"New Jersey Devils",7,6,33,11,4,"W 1","OTW","H"
1986-01-25,"Los Angeles Kings",5,2,34,11,4,"W 2","W","H"
1986-01-27,"Chicago Black Hawks",4,3,35,11,4,"W 3","W","A"
1986-01-29,"St. Louis Blues",5,5,35,11,5,"T 1","T","A"
1986-01-31,"Calgary Flames",7,4,36,11,5,"W 1","W","H"
1986-02-01,"Calgary Flames",4,4,36,11,6,"T 1","T","A"
1986-02-06,"New Jersey Devils",6,4,37,11,6,"W 1","W","A"
1986-02-08,"Washington Capitals",4,5,37,12,6,"L 1","OTL","A"
1986-02-09,"Buffalo Sabres",2,4,37,13,6,"L 2","L","A"
1986-02-11,"Detroit Red Wings",3,2,38,13,6,"W 1","W","A"
1986-02-14,"Quebec Nordiques",8,2,39,13,6,"W 2","W","H"
